법령명한글,공포번호
10ㆍ27법난 피해자의 명예회복 등에 관한 법률,19592
10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,33382
10ㆍ29이태원참사 피해자 권리보장과 진상규명 및 재발방지를 위한 특별법,20427
119구조ㆍ구급에 관한 법률,19625
119구조ㆍ구급에 관한 법률 시행령,34433
119구조ㆍ구급에 관한 법률 시행규칙,00479
1945년이후종전의규정에의한학교졸업자자격인정령,04401
1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법,16029
1959년 12월 31일 이전에 퇴직한 군인의 퇴직급여금지급에 관한 특별법 시행령,29637
1980년해직공무원의보상등에관한특별조치법,04101
1980년해직공무원의보상등에관한특별조치법시행령,29181
1인 창조기업 육성에 관한 법률,18961
1인 창조기업 육성에 관한 법률 시행령,34449
2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,19602
2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,34550
2023 새만금 세계스카우트잼버리 지원 특별법,19839
2023 새만금 세계스카우트잼버리 지원 특별법 시행령,30241
2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법,19117
2023 순천만국제정원박람회 지원 및 사후활용에 관한 특별법 시행령,32436
30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법,17991
30개월 이상 복무한 상등병 만기전역자의 특별진급을 위한 특별법 시행령,34377
3ㆍ15의거 참여자의 명예회복 등에 관한 법률,18301
3ㆍ15의거 참여자의 명예회복 등에 관한 법률 시행령,33738
4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,12843
4ㆍ16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법 시행령,28211
4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법,20428
4ㆍ16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,33225
4차산업혁명위원회의 설치 및 운영에 관한 규정,31385
5ㆍ18민주유공자예우 및 단체설립에 관한 법률,19228
5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행령,33627
5ㆍ18민주유공자예우 및 단체설립에 관한 법률 시행규칙,00012
5ㆍ18민주화운동 관련자 보상 등에 관한 법률,19106
5ㆍ18민주화운동 관련자 보상 등에 관한 법률 시행령,33606
5ㆍ18민주화운동 등에 관한 특별법,18465
5ㆍ18민주화운동 진상규명을 위한 특별법,20309
5ㆍ18민주화운동 진상규명을 위한 특별법 시행령,33382
6ㆍ25 전사자유해의 발굴 등에 관한 법률,20309
6ㆍ25 전사자유해의 발굴 등에 관한 법률 시행령,32041
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률,15790
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률 시행령,28211
6ㆍ25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률에 의한 가족관계등록사무처리규칙,02307
6ㆍ25전쟁 무공훈장 수여 등에 관한 법률,18679
6ㆍ25전쟁 무공훈장 수여 등에 관한 법률 시행령,29993
6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률,17993
6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률 시행령,33382
6ㆍ25전쟁 정전60주년 기념 호국영웅기장 수여규칙,00001
가덕도신공항건설공단법,19762
가덕도신공항건설공단법 시행령,34420
가덕도신공항건설공단법 시행규칙,01329
가덕도신공항 건설을 위한 특별법,19987
가덕도신공항 건설을 위한 특별법 시행령,33913
가덕도신공항 건설을 위한 특별법 시행규칙,00886
가등기담보 등에 관한 법률,14474
가맹사업거래의 공정화에 관한 법률,19912
가맹사업거래의 공정화에 관한 법률 시행령,34556
가맹사업 진흥에 관한 법률,18267
가맹사업 진흥에 관한 법률 시행령,32838
가사근로자의 고용개선 등에 관한 법률,18285
가사근로자의 고용개선 등에 관한 법률 시행령,32659
가사근로자의 고용개선 등에 관한 법률 시행규칙,00354
가사소송규칙,02856
가사소송법,19354
가사소송수수료규칙,02639
가석방자관리규정,32737
가습기살균제 피해구제를 위한 특별법,17102
가습기살균제 피해구제를 위한 특별법 시행령,32843
가습기살균제 피해구제를 위한 특별법 시행규칙,00882
가정보호심판규칙,03125
가정폭력방지 및 피해자보호 등에 관한 법률,19339
가정폭력방지 및 피해자보호 등에 관한 법률 시행령,32875
가정폭력방지 및 피해자보호 등에 관한 법률 시행규칙,00203
가정폭력범죄의 처벌 등에 관한 특례법,19068
가정폭력범죄의 처벌 등에 관한 특례법 시행령,26325
가족관계의 등록 등에 관한 규칙,03151
가족관계의 등록 등에 관한 법률,18651
가족친화 사회환경의 조성 촉진에 관한 법률,17438
가족친화 사회환경의 조성 촉진에 관한 법률 시행령,33886
가족친화 사회환경의 조성 촉진에 관한 법률 시행규칙,00080
가축 및 축산물 이력관리에 관한 법률,18853
가축 및 축산물 이력관리에 관한 법률 시행령,30247
가축 및 축산물 이력관리에 관한 법률 시행규칙,00584
가축분뇨의 관리 및 이용에 관한 법률,19656
가축분뇨의 관리 및 이용에 관한 법률 시행령,33913
가축분뇨의 관리 및 이용에 관한 법률 시행규칙,01002
가축분뇨의 자원화 및 이용 촉진에 관한 규칙,00549
가축전염병 예방법,19706
가축전염병 예방법 시행령,34289
가축전염병 예방법 시행규칙,00646
각급 법원에 배치할 판사의 수에 관한 규칙,03133
각급 법원의 설치와 관할구역에 관한 법률,19839
각급 법원 판사 정원법,12951
각병과사병의군사경찰직무보조에관한규정,30384
각종 기념일 등에 관한 규정,34519
각종분쟁조정위원회등의조정조서등에대한집행문부여에관한규칙,01768
간선급행버스체계의 건설 및 운영에 관한 특별법,19987
간선급행버스체계의 건설 및 운영에 관한 특별법 시행령,34487
간선급행버스체계의 건설 및 운영에 관한 특별법 시행규칙,01163
간척지의 농어업적 이용 및 관리에 관한 법률,19571
간척지의 농어업적 이용 및 관리에 관한 법률 시행령,32754
간척지의 농어업적 이용 및 관리에 관한 법률 시행규칙,00538
간호조무사 및 의료유사업자에 관한 규칙,00999
감사교육원 운영 등에 관한 규칙,00311
감사교육원직제,00373
감사연구원 운영규칙,00312
감사연구원 직제,00360
감사원 감사사무 처리규칙,00367
감사원 개방형 직위 및 공모 직위의 운영 등에 관한 규칙,00338
감사원규칙의 공포에 관한 규칙,00287
감사원 모범공직자 및 모범부서ㆍ기관 선발에 관한 규칙,00375
감사원법,17560
감사원 변상판정청구에 관한 규칙,00300
감사원사무처 직제,00372
감사원 소관 비영리법인의 설립 및 감독에 관한 규칙,00273
감사원심사규칙,00347
